candidate_name,life_stage,year_or_period,role_or_event,institution,sector,achievement,evidence,citation,impact_category,impact_score
Dr. Jamilu Isyaku Gwamna,Early background,Publicly unavailable,Childhood and family background not verified in seed public records,Not available,Personal background,No childhood or family-community details are scored because verifiable public records were not located in the seed evidence set.,The platform does not infer personal background beyond cited public reporting.,SRC006,Data limitation,0
Dr. Jamilu Isyaku Gwamna,Education,Period not specified,Accounting and economics qualifications reported,Ahmadu Bello University; London Metropolitan University,Education,"Vanguard-hosted commentary reported that Gwamna obtained a BSc in Accounting from Ahmadu Bello University, plus an MSc in Business Economics and Finance and a doctorate in Economics from London Metropolitan University.",This is included as contextual education evidence from media commentary and should be replaced with primary institutional records if available.,SRC034,Education,48
Dr. Jamilu Isyaku Gwamna,Early career,By 2013,Private-sector utility executive during electricity distribution privatization period,Kano Electricity Distribution Company,Private-sector leadership,Daily Trust reporting states that he led KEDCO from its privatization period and described transformation efforts under his leadership.,This is leadership-context evidence; regulator data is used separately for measurable utility performance.,SRC007,Private-sector leadership,66
Dr. Jamilu Isyaku Gwamna,Professional growth,Pre-2013,Multi-sector professional experience reported,Business and utility-sector institutions,Private-sector leadership,Vanguard-hosted commentary reported more than 25 years of work experience across leadership positions before and during KEDCO prominence.,"The dataset treats this as contextual career evidence, not an audited employment chronology.",SRC034,Professional development,45
Dr. Jamilu Isyaku Gwamna,Major leadership roles,2016-2022,Managing Director / Chief Executive Officer,Kano Electricity Distribution Company,Private-sector leadership,Multiple journalism sources identify him as MD/CEO of KEDCO.,"The role covers a critical public-utility franchise serving Kano, Katsina and Jigawa states.",SRC006,Public utility management,72
Dr. Jamilu Isyaku Gwamna,Political leadership,2019,APC political figure in Gombe State,"All Progressives Congress, Gombe State",Political leadership,Daily Trust interview identified Gwamna as an APC chieftain in Gombe State and KEDCO MD/CEO.,This records political engagement; it does not evaluate campaign claims or encourage political persuasion.,SRC031,Political leadership,35
Dr. Jamilu Isyaku Gwamna,Major achievements,2016,Customer fault-resolution and service-responsiveness pledge,Kano Electricity Distribution Company,Public utility management,THISDAY reported his stated willingness to meet customers and prioritize fault resolution.,This is a public service-delivery pledge; measured impact requires complaint-resolution and outage data.,SRC028,Service delivery,55
Dr. Jamilu Isyaku Gwamna,Major achievements,2019,Power distribution and industrialization vision,Kano Electricity Distribution Company,Economic contribution,Economic Confidential reported his view that reliable power distribution could support industrialization and economic turnaround in KEDCO states.,This is economic rationale and leadership intent; economic impact is not treated as audited output.,SRC029,Economic contribution,58
Dr. Jamilu Isyaku Gwamna,Major achievements,2020,COVID-era service continuity and safety strategy,Kano Electricity Distribution Company,Crisis handling,Daily Trust interview reported that KEDCO maintained service delivery during COVID-19 and prioritized safe power supply.,The claim is interview-based and needs operational supply-hour data for higher confidence.,SRC006,Crisis handling,60
Dr. Jamilu Isyaku Gwamna,Community service,2020,Scholarship support for Gombe students studying in Morocco,Community philanthropy,Community service,Vanguard reported that Gwamna sponsored 10 students from Gombe State to study in Moroccan universities.,"The item is reported philanthropy and scored as community-service evidence, not government performance.",SRC030,Community service,68
Dr. Jamilu Isyaku Gwamna,Major achievements,2022,"Transformer, accessories and feeder construction activity",Kano Electricity Distribution Company,Infrastructure,"Blueprint reported inspections of new transformers, accessories and feeder construction to improve service delivery.",This is project-activity evidence; completion and reliability gains require independent technical audit.,SRC008,Infrastructure development,68
Dr. Jamilu Isyaku Gwamna,Public impact,2022,Kano DisCo metering rate benchmark,Nigerian Electricity Regulatory Commission / Kano DisCo,Public utility management,NERC Q2 2022 report listed Kano DisCo metering performance at 22.52 percent.,This is entity-level regulator data and not solely attributable to one executive.,SRC004,Service delivery,70
Dr. Jamilu Isyaku Gwamna,Criticisms and limitations,2022,Utility-sector performance limitations and complaint context,Kano DisCo / Nigerian electricity distribution sector,Public perception,"NERC Q4 2022 reported metering, billing and interruption as major complaint categories across DisCos.",The row captures sector-level public-service constraints and does not assign personal blame without direct evidence.,SRC005,Public perception,0
